Approx. Algo,Bit,Total Energy
exact,0,51927957942.27095
exact,1,50620297434.73165
exact,2,51045076821.906296
exact,3,51562983892.9347
exact,4,51804910521.81445
exact,5,52236637123.05338
exact,6,51826617859.33349
exact,7,51532796108.20564
exact,8,51397949771.55691
own_Aprox,0,52216078047.28813
own_Aprox,1,47168657530.97166
own_Aprox,2,42133484961.96567
own_Aprox,3,38255428192.911255
own_Aprox,4,33504967577.629814
own_Aprox,5,29003903804.371784
own_Aprox,6,25219231657.83263
own_Aprox,7,20828723843.50222
own_Aprox,8,17730655449.072845
SIAFA 1,0,51032548305.4637
SIAFA 1,1,46698413768.4524
SIAFA 1,2,42820051714.3416
SIAFA 1,7,22675024410.581608
SIAFA 1,8,19004427909.880444
SIAFA 2,0,51174347360.84294
SIAFA 2,1,48093484910.99071
SIAFA 2,2,44544765801.374825
SIAFA 2,3,41198951687.90154
SIAFA 2,4,37915176912.601494
SIAFA 2,5,34454689611.62418
SIAFA 2,6,31125796551.19789
SIAFA 2,7,28128114212.874214
SIAFA 2,8,25042465409.593246
SIAFA 3,0,51216467075.780685
SIAFA 3,1,47594244927.8633
SIAFA 3,2,42122354177.6379
SIAFA 3,3,39004449112.35709
SIAFA 3,4,34836378269.84344
SIAFA 3,5,30716470961.56203
SIAFA 3,6,26550838328.604034
SIAFA 3,7,22888494417.909172
SIAFA 3,8,19340874752.022594
SIAFA 4,0,51560855621.4255
SIAFA 4,1,47366933874.46285
Serial Aprox,0,51136859402.21177
Serial Aprox,1,46415133077.38256
Serial Aprox,2,42722919486.208725
Serial Aprox,7,20183394245.957375
Serial Aprox,8,16742570440.432446
Semi Serial Aprox,0,51240222302.67662
Semi Serial Aprox,1,46422476721.11461
Semi Serial Aprox,2,42069149278.069244
Semi Serial Aprox,3,37194341172.737656
Semi Serial Aprox,4,33269785626.875195
Semi Serial Aprox,5,29503853028.66952
Semi Serial Aprox,6,24770512240.678352
Semi Serial Aprox,7,20782614100.601006
Semi Serial Aprox,8,17028248173.571833
