Approx. Algo,Bit,Total Energy
exact,0,40427568294.547745
exact,1,40571412887.89404
exact,2,40183345313.68989
exact,3,40580374399.354454
exact,4,40183974074.200935
exact,5,41423036308.2993
exact,6,40382183896.31892
exact,7,40552726058.281586
exact,8,40506547244.64543
own_Aprox,0,41479628754.40842
own_Aprox,1,37378029259.40821
own_Aprox,2,33282214571.115665
own_Aprox,3,30348084335.595715
own_Aprox,4,26880013569.04729
own_Aprox,5,22991990097.217552
own_Aprox,6,19472147760.30622
own_Aprox,7,16027077980.10029
own_Aprox,8,13933365783.707924
SIAFA 1,0,40339095614.49073
SIAFA 1,1,37314613535.28101
SIAFA 1,2,34296768662.184353
SIAFA 1,7,17786709404.528873
SIAFA 1,8,14922253426.15377
SIAFA 2,0,40555175784.574776
SIAFA 2,1,37837300829.667046
SIAFA 2,2,34799513489.31932
SIAFA 2,3,32226825028.932816
SIAFA 2,4,28910307642.40111
SIAFA 2,5,27790912066.937004
SIAFA 2,6,24422426544.26674
SIAFA 2,7,22396837079.23468
SIAFA 2,8,20128050131.390774
SIAFA 3,0,40250213355.8433
SIAFA 3,1,37204020826.208244
SIAFA 3,2,34465502256.35943
SIAFA 3,3,30517870434.057808
SIAFA 3,4,27243136470.69754
SIAFA 3,5,24345892387.821514
SIAFA 3,6,21052096014.52781
SIAFA 3,7,17783917817.73247
SIAFA 3,8,15186689207.844875
SIAFA 4,0,40368163451.32319
SIAFA 4,1,37427078657.33691
Serial Aprox,0,40387583995.249825
Serial Aprox,1,37571877555.813225
Serial Aprox,2,33778715261.495743
Serial Aprox,7,15988952708.338917
Serial Aprox,8,12974832811.230217
Semi Serial Aprox,0,40395667890.801636
Semi Serial Aprox,1,36968766708.57564
Semi Serial Aprox,2,32818627237.79755
Semi Serial Aprox,3,29467580168.95588
Semi Serial Aprox,4,25947863339.043205
Semi Serial Aprox,5,22662573312.61917
Semi Serial Aprox,6,19665545908.521652
Semi Serial Aprox,7,16197027307.864431
Semi Serial Aprox,8,13282619832.647278
