Approx. Algo,Bit,Total Energy
exact,0,52230899516.03929,463638416
exact,1,51873361063.45899,421702920
exact,2,52445896138.231895,383618144
exact,3,52013290084.97564,339353400
exact,4,51356091547.439804,296391744
exact,5,52168711864.314026,259279776
exact,6,51439917463.97251,215864832
exact,7,51404775144.630844,175292208
exact,8,51188702495.73597,133957840
own_Aprox,0,51832351428.68088,462204976
own_Aprox,1,47024397030.420906,423175792
own_Aprox,2,42010399710.356865,376838784
own_Aprox,3,37800024681.38659,337355800
own_Aprox,4,33125711294.223892,296467248
own_Aprox,5,29728428530.71122,260883680
own_Aprox,6,24872741593.726284,215955840
own_Aprox,7,20877685453.337513,177327384
own_Aprox,8,17794967788.446877,135976640
